PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37205669","Binaural beats to entrain the brain? A systematic review of the effects of binaural beat stimulation on brain oscillatory activity, and the implications for psychological research and intervention","Ingendoh RM, Posny ES, Heine A.","PLoS One. 2023 May 19;18(5):e0286023. doi: 10.1371/journal.pone.0286023. eCollection 2023.","Ingendoh RM","PLoS One","2023","2023/05/19","PMC10198548","","10.1371/journal.pone.0286023"
"37270841","Effects of inaudible binaural beats on visuospatial memory","Kim YJ, Kim KB, Kim JS, Kim HS, Choi MH, Yi JH, Chung SC.","Neuroreport. 2023 Jun 7;34(10):501-505. doi: 10.1097/WNR.0000000000001916. Epub 2023 May 20.","Kim YJ","Neuroreport","2023","2023/06/04","","","10.1097/WNR.0000000000001916"
"34245340","Effects of binaural and monaural beat stimulation on attention and EEG","Engelbregt H, Barmentlo M, Keeser D, Pogarell O, Deijen JB.","Exp Brain Res. 2021 Sep;239(9):2781-2791. doi: 10.1007/s00221-021-06155-z. Epub 2021 Jul 10.","Engelbregt H","Exp Brain Res","2021","2021/07/10","PMC8448709","","10.1007/s00221-021-06155-z"
"22326292","Binaural beat salience","Grose JH, Buss E, Hall JW 3rd.","Hear Res. 2012 Mar;285(1-2):40-5. doi: 10.1016/j.heares.2012.01.012. Epub 2012 Feb 6.","Grose JH","Hear Res","2012","2012/02/14","PMC3299837","NIHMS355429","10.1016/j.heares.2012.01.012"
"36831852","Effects of Binaural Beat Stimulation in Adults with Stuttering","Chernetchenko D, Prasolov P, Aganov S, Voropai A, Polishchuk Y, Lituiev D, Nayshtetik E.","Brain Sci. 2023 Feb 11;13(2):309. doi: 10.3390/brainsci13020309.","Chernetchenko D","Brain Sci","2023","2023/02/25","PMC9954735","","10.3390/brainsci13020309"
"35326295","Entrapment of Binaural Auditory Beats in Subjects with Symptoms of Insomnia","Lee E, Bang Y, Yoon IY, Choi HY.","Brain Sci. 2022 Mar 2;12(3):339. doi: 10.3390/brainsci12030339.","Lee E","Brain Sci","2022","2022/03/25","PMC8945912","","10.3390/brainsci12030339"
"34867666","Personalized Theta and Beta Binaural Beats for Brain Entrainment: An Electroencephalographic Analysis","Corona-González CE, Alonso-Valerdi LM, Ibarra-Zarate DI.","Front Psychol. 2021 Nov 11;12:764068. doi: 10.3389/fpsyg.2021.764068. eCollection 2021.","Corona-González CE","Front Psychol","2021","2021/12/06","PMC8636003","","10.3389/fpsyg.2021.764068"
"32066611","Binaural Beats through the Auditory Pathway: From Brainstem to Connectivity Patterns","Orozco Perez HD, Dumas G, Lehmann A.","eNeuro. 2020 Mar 19;7(2):ENEURO.0232-19.2020. doi: 10.1523/ENEURO.0232-19.2020. Print 2020 Mar/Apr.","Orozco Perez HD","eNeuro","2020","2020/02/19","PMC7082494","","10.1523/ENEURO.0232-19.2020"
"39004412","Brain wave modulation and EEG power changes during auditory beats stimulation","Dos Anjos T, Di Rienzo F, Benoit CE, Daligault S, Guillot A.","Neuroscience. 2024 Aug 30;554:156-166. doi: 10.1016/j.neuroscience.2024.07.014. Epub 2024 Jul 14.","Dos Anjos T","Neuroscience","2024","2024/07/14","","","10.1016/j.neuroscience.2024.07.014"
"37213909","Binaural acoustic stimulation in patients with Parkinson's disease","Calvano A, Timmermann L, Loehrer PA, Oehrn CR, Weber I.","Front Neurol. 2023 May 5;14:1167006. doi: 10.3389/fneur.2023.1167006. eCollection 2023.","Calvano A","Front Neurol","2023","2023/05/22","PMC10196363","","10.3389/fneur.2023.1167006"
"26541421","Binaural beats increase interhemispheric alpha-band coherence between auditory cortices","Solcà M, Mottaz A, Guggisberg AG.","Hear Res. 2016 Feb;332:233-237. doi: 10.1016/j.heares.2015.09.011. Epub 2015 Nov 2.","Solcà M","Hear Res","2016","2015/11/07","","","10.1016/j.heares.2015.09.011"
"37085963","First Longitudinal Study Using Binaural Beats on Parkinson Disease","González D, Bruña R, Martínez-Castrillo JC, López JM, de Arcas G.","Int J Neural Syst. 2023 May;33(6):2350027. doi: 10.1142/S0129065723500272. Epub 2023 Apr 21.","González D","Int J Neural Syst","2023","2023/04/22","","","10.1142/S0129065723500272"
"29187819","Binaural Beat: A Failure to Enhance EEG Power and Emotional Arousal","López-Caballero F, Escera C.","Front Hum Neurosci. 2017 Nov 15;11:557. doi: 10.3389/fnhum.2017.00557. eCollection 2017.","López-Caballero F","Front Hum Neurosci","2017","2017/12/01","PMC5694826","","10.3389/fnhum.2017.00557"
"23085086","Tracking EEG changes in response to alpha and beta binaural beats","Vernon D, Peryer G, Louch J, Shaw M.","Int J Psychophysiol. 2014 Jul;93(1):134-9. doi: 10.1016/j.ijpsycho.2012.10.008. Epub 2012 Oct 17.","Vernon D","Int J Psychophysiol","2014","2012/10/23","","","10.1016/j.ijpsycho.2012.10.008"
"28145275","The effect of binaural beats on verbal working memory and cortical connectivity","Beauchene C, Abaid N, Moran R, Diana RA, Leonessa A.","J Neural Eng. 2017 Apr;14(2):026014. doi: 10.1088/1741-2552/aa5d67. Epub 2017 Feb 1.","Beauchene C","J Neural Eng","2017","2017/02/02","","","10.1088/1741-2552/aa5d67"
"881483","Rotating tones and binaural beats","Perrott DR, Musicant AD.","J Acoust Soc Am. 1977 May;61(5):1288-92. doi: 10.1121/1.381430.","Perrott DR","J Acoust Soc Am","1977","1977/05/01","","","10.1121/1.381430"
"27893766","The Effect of Binaural Beats on Visuospatial Working Memory and Cortical Connectivity","Beauchene C, Abaid N, Moran R, Diana RA, Leonessa A.","PLoS One. 2016 Nov 28;11(11):e0166630. doi: 10.1371/journal.pone.0166630. eCollection 2016.","Beauchene C","PLoS One","2016","2016/11/29","PMC5125618","","10.1371/journal.pone.0166630"
"37490130","Binaural Beat Effects on Attention: A Study Based on the Oddball Paradigm","Cepeda-Zapata LK, Corona-González CE, Alonso-Valerdi LM, Ibarra-Zarate DI.","Brain Topogr. 2023 Sep;36(5):671-685. doi: 10.1007/s10548-023-00990-9. Epub 2023 Jul 25.","Cepeda-Zapata LK","Brain Topogr","2023","2023/07/25","","","10.1007/s10548-023-00990-9"
"29297265","Short-Term Effects of Binaural Beats on EEG Power, Functional Connectivity, Cognition, Gait and Anxiety in Parkinson's Disease","Gálvez G, Recuero M, Canuet L, Del-Pozo F.","Int J Neural Syst. 2018 Jun;28(5):1750055. doi: 10.1142/S0129065717500551. Epub 2017 Nov 13.","Gálvez G","Int J Neural Syst","2018","2018/01/04","","","10.1142/S0129065717500551"
"9423966","Binaural auditory beats affect vigilance performance and mood","Lane JD, Kasian SJ, Owens JE, Marsh GR.","Physiol Behav. 1998 Jan;63(2):249-52. doi: 10.1016/s0031-9384(97)00436-8.","Lane JD","Physiol Behav","1998","1998/01/10","","","10.1016/s0031-9384(97)00436-8"
"31433343","Minimal Effects of Binaural Auditory Beats for Subclinical Insomnia: A Randomized Double-Blind Controlled Study","Bang YR, Choi HY, Yoon IY.","J Clin Psychopharmacol. 2019 Sep/Oct;39(5):499-503. doi: 10.1097/JCP.0000000000001097.","Bang YR","J Clin Psychopharmacol","2019","2019/08/22","","","10.1097/JCP.0000000000001097"
"30618681","Modulation of Item and Source Memory by Auditory Beat Stimulation: A Pilot Study With Intracranial EEG","Derner M, Chaieb L, Surges R, Staresina BP, Fell J.","Front Hum Neurosci. 2018 Dec 11;12:500. doi: 10.3389/fnhum.2018.00500. eCollection 2018.","Derner M","Front Hum Neurosci","2018","2019/01/09","PMC6297717","","10.3389/fnhum.2018.00500"
"32330517","Effects of aging on event-related potentials to single-cycle binaural beats and diotic amplitude modulation of a tone","Ungan P, Yagcioglu S, Ayik E.","Brain Res. 2020 Aug 1;1740:146849. doi: 10.1016/j.brainres.2020.146849. Epub 2020 Apr 21.","Ungan P","Brain Res","2020","2020/04/25","","","10.1016/j.brainres.2020.146849"
"25345689","Intracranial electroencephalography power and phase synchronization changes during monaural and binaural beat stimulation","Becher AK, Höhne M, Axmacher N, Chaieb L, Elger CE, Fell J.","Eur J Neurosci. 2015 Jan;41(2):254-63. doi: 10.1111/ejn.12760. Epub 2014 Oct 25.","Becher AK","Eur J Neurosci","2015","2014/10/28","","","10.1111/ejn.12760"
"37038776","Frequency-following response effect according to gender using a 10-Hz binaural beat stimulation","Kim KB, Jung JJ, Lee JH, Kim YJ, Kim JS, Choi MH, Kim HS, Yi JH, Min BC, Chung SC.","Technol Health Care. 2023;31(S1):3-8. doi: 10.3233/THC-236001.","Kim KB","Technol Health Care","2023","2023/04/11","PMC10200219","","10.3233/THC-236001"
"22496862","A high-density EEG investigation into steady state binaural beat stimulation","Goodin P, Ciorciari J, Baker K, Carey AM, Harper M, Kaufman J.","PLoS One. 2012;7(4):e34789. doi: 10.1371/journal.pone.0034789. Epub 2012 Apr 9.","Goodin P","PLoS One","2012","2012/04/13","PMC3322125","","10.1371/journal.pone.0034789"
"28555100","The Impact of Monaural Beat Stimulation on Anxiety and Cognition","Chaieb L, Wilpert EC, Hoppe C, Axmacher N, Fell J.","Front Hum Neurosci. 2017 May 15;11:251. doi: 10.3389/fnhum.2017.00251. eCollection 2017.","Chaieb L","Front Hum Neurosci","2017","2017/05/31","PMC5430051","","10.3389/fnhum.2017.00251"
"39423321","Predicting the effectiveness of binaural beats on working memory","Rao AZ, Mujib MD, Qazi SA, Alokaily AO, Ikhlaq A, Mirza EH, Aldohbeyb AA, Hasan MA.","Neuroreport. 2024 Dec 4;35(17):1082-1089. doi: 10.1097/WNR.0000000000002101. Epub 2024 Sep 30.","Rao AZ","Neuroreport","2024","2024/10/18","","","10.1097/WNR.0000000000002101"
"28409319","The effect of gamma-enhancing binaural beats on the control of feature bindings","Colzato LS, Steenbergen L, Sellaro R.","Exp Brain Res. 2017 Jul;235(7):2125-2131. doi: 10.1007/s00221-017-4957-9. Epub 2017 Apr 13.","Colzato LS","Exp Brain Res","2017","2017/04/15","PMC5486945","","10.1007/s00221-017-4957-9"
"21926628","Electrophysiological measurement of binaural beats: effects of primary tone frequency and observer age","Grose JH, Mamo SK.","Ear Hear. 2012 Mar-Apr;33(2):187-94. doi: 10.1097/AUD.0b013e318230bbbd.","Grose JH","Ear Hear","2012","2011/09/20","PMC3243787","NIHMS322363","10.1097/AUD.0b013e318230bbbd"
"39103461","Effects of daily listening to 6 Hz binaural beats over one month: an event-related potentials study","Chockboondee M, Jatupornpoonsub T, Lertsukprasert K, Wongsawat Y.","Sci Rep. 2024 Aug 5;14(1):18059. doi: 10.1038/s41598-024-68628-9.","Chockboondee M","Sci Rep","2024","2024/08/05","PMC11300877","","10.1038/s41598-024-68628-9"
"35977951","An Electroencephalography-based Database for studying the Effects of Acoustic Therapies for Tinnitus Treatment","Cuevas-Romero AR, Alonso-Valerdi LM, Intriago-Campos LA, Ibarra-Zárate DI.","Sci Data. 2022 Aug 17;9(1):500. doi: 10.1038/s41597-022-01622-w.","Cuevas-Romero AR","Sci Data","2022","2022/08/17","PMC9385645","","10.1038/s41597-022-01622-w"
"31111175","Event-related potentials to single-cycle binaural beats and diotic amplitude modulation of a tone","Ungan P, Yagcioglu S, Ayik E.","Exp Brain Res. 2019 Aug;237(8):1931-1945. doi: 10.1007/s00221-019-05562-7. Epub 2019 May 20.","Ungan P","Exp Brain Res","2019","2019/05/22","","","10.1007/s00221-019-05562-7"
"19616993","Cortical evoked potentials to an auditory illusion: binaural beats","Pratt H, Starr A, Michalewski HJ, Dimitrijevic A, Bleich N, Mittelman N.","Clin Neurophysiol. 2009 Aug;120(8):1514-24. doi: 10.1016/j.clinph.2009.06.014. Epub 2009 Jul 18.","Pratt H","Clin Neurophysiol","2009","2009/07/21","PMC2741401","NIHMS127344","10.1016/j.clinph.2009.06.014"
"31126569","The short-term effects of recorded ocean sound with and without alpha frequency binaural beats on tinnitus perception","Munro BA, Searchfield GD.","Complement Ther Med. 2019 Jun;44:291-295. doi: 10.1016/j.ctim.2019.05.005. Epub 2019 May 8.","Munro BA","Complement Ther Med","2019","2019/05/26","","","10.1016/j.ctim.2019.05.005"
"15721080","Human auditory steady state responses to binaural and monaural beats","Schwarz DW, Taylor P.","Clin Neurophysiol. 2005 Mar;116(3):658-68. doi: 10.1016/j.clinph.2004.09.014.","Schwarz DW","Clin Neurophysiol","2005","2005/02/22","","","10.1016/j.clinph.2004.09.014"
"19042870","Healthcare performance and the effects of the binaural beats on human blood pressure and heart rate","Carter C.","J Hosp Mark Public Relations. 2008;18(2):213-9. doi: 10.1080/15390940802234263.","Carter C","J Hosp Mark Public Relations","2008","2008/12/02","","","10.1080/15390940802234263"
"25008412","Human cortical responses to slow and fast binaural beats reveal multiple mechanisms of binaural hearing","Ross B, Miyazaki T, Thompson J, Jamali S, Fujioka T.","J Neurophysiol. 2014 Oct 15;112(8):1871-84. doi: 10.1152/jn.00224.2014. Epub 2014 Jul 9.","Ross B","J Neurophysiol","2014","2014/07/11","","","10.1152/jn.00224.2014"
"39083499","A new perspective on binaural beats: Investigating the effects of spatially moving sounds on human mental states","Sudre S, Kronland-Martinet R, Petit L, Rozé J, Ystad S, Aramaki M.","PLoS One. 2024 Jul 31;19(7):e0306427. doi: 10.1371/journal.pone.0306427. eCollection 2024.","Sudre S","PLoS One","2024","2024/07/31","PMC11290623","","10.1371/journal.pone.0306427"
