Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"A high-density EEG investigation into steady state binaural beat stimulation.","Goodin, Peter; Ciorciari, Joseph; Baker, Kate; Carrey, Anne-Marie; Harper, Michelle; Kaufman, Jordy","PLoS ONE",="19326203",,="20120409","7","4",,,"2012-12593-001","10.1371/annotation/89b655ea-6877-411d-abee-e1f4806f5f78","Public Library of Science","Journal Article","Electroencephalography; Personality Traits; Theta Rhythm; Beta Rhythm; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Binaural beats are an auditory phenomenon that has been suggested to alter physiological and cognitive processes including vigilance and brainwave entrainment. Some personality traits measured by the NEO Five Factor Model have been found to alter entrainment using pulsing light stimuli, but as yet no studies have examined if this occurs using steady state presentation of binaural beats for a relatively short presentation of two minutes. This study aimed to examine if binaural beat stimulation altered vigilance or cortical frequencies and if personality traits were involved. Thirty-one participants were played binaural beat stimuli designed to elicit a response at either the Theta (7 Hz) or Beta (16 Hz) frequency bands while undertaking a zero-back vigilance task. EEG was recorded from a high-density electrode cap. No significant differences were found in vigilance or cortical frequency power during binaural beat stimulation compared to a white noise control period. Furthermore, no significant relationships were detected between the above and the Big Five personality traits. This suggests a short presentation of steady state binaural beats are not sufficient to alter vigilance or entrain cortical frequencies at the two bands examined and that certain personality traits were not more susceptible than others. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2012-12593-001&lang=es&site=ehost-live"
"A new perspective on binaural beats: Investigating the effects of spatially moving sounds on human mental states.","Sudre, Salomé; Kronland-Martinet, Richard; Petit, Laetitia; Rozé, Jocelyn; Ystad, Sølvi; Aramaki, Mitsuko","PLoS ONE",="19326203",,="20240731","19","7",,,"2025-10934-001","10.1371/journal.pone.0306427","Public Library of Science","Journal Article","Auditory Stimulation; Cognition; Pitch (Frequency); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"When individuals are exposed to two pure tones with close frequencies presented separately in each ear, they perceive a third sound known as binaural beats (BB), characterized by a frequency equal to the difference between the two tones. Previous research has suggested that BB may influence brain activity, potentially benefiting attention and relaxation. In this study, we hypothesized that the impact of BB on cognition and EEG is linked to the spatial characteristics of the sound. Participants listened to various types of spatially moving sounds (BB, panning and alternate beeps) at 6Hz and 40Hz frequencies. EEG measurements were conducted throughout the auditory stimulation, and participants completed questionnaires on relaxation, affect, and a sustained attention task. The results indicated that binaural, panning sounds and alternate beeps had a more pronounced effect on electrical brain activity than the control condition. Additionally, an improvement in relaxation was observed with these sounds at both 6Hz and 40Hz. Overall, these findings support our hypothesis that the impact of auditory stimulation lies in the spatial attributes rather than the sensation of beating itself. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2025-10934-001&lang=es&site=ehost-live"
"An investigation of the effects of binaural beat frequencies on human brain waves.","Ulam, Frederick Anthony","Dissertation Abstracts International: Section B: The Sciences and Engineering",="04194217",,="20060101","67","2-B","1198","1","2006-99016-128",,"ProQuest Information & Learning","Dissertation","Brain; Electroencephalography; Auditory Evoked Potentials; Adulthood (18 yrs & older)",,"The study investigated the use of binaural beat frequencies in inducing entrainment of synchronous brain wave activity within the theta frequency band. Subjects consisted of 43 volunteers recruited from psychophysiology courses offered at the California State University at Fresno. Each subject served as his own control, receiving binaural beat stimulation, monaural beat stimulation, and monaural tone stimulation. Subjects were randomly assigned to three groups in which the order of treatments was counterbalanced. Subjects were naive as to the hypotheses, and treatments were delivered under double-blind conditions. Binaural beat stimulation was produced by the Hemi-Sync Synthesizer, Model 201B. Both 440 Hz and 436 Hz tones were used for stimulation conditions containing beat frequencies, while a 440 Hz tone alone was used for the monaural tone condition. EEG activity was recorded from Fp2, C2, O2 and T5 and T6 scalp locations, using an extension of the 10-20 International System. EEG activity was acquired with BFC5000-4 with on-line Spectral Analysis unit. An integrated, coherent averaging circuit was used to measure phase synchrony across the five electrode locations. Spectral data were quantified into absolute and relative power of theta at each electrode site, including the coherent averaging circuit channel. A three-factor, mixed ANOVA revealed no significant differences between groups on treatments, indicating that binaural beat stimulation produced no greater inducement of theta than the control conditions and that theta was no more synchronous during binaural beat stimulation than during control conditions. Suggestions for future research emphasized the inclusion of controls for the attentional focus of subjects and use of coherent averaging for each channel of the EEG in a more traditionally evoked potential paradigm. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2006-99016-128&lang=es&site=ehost-live"
"Analysis of eeg activity in response to binaural beats with different frequencies.","Gao, Xiang; Cao, Hongbao; Ming, Dong; Qi, Hongzhi; Wang, Xuemin; Wang, Xiaolu; Chen, Runge; Zhou, Peng","International Journal of Psychophysiology",="01678760",,="20141201","94","3","399","8","2014-55228-020","10.1016/j.ijpsycho.2014.10.010","Elsevier Science","Journal Article","Auditory Stimulation; Connectionism; Electroencephalography; Cognition; Stimulus Frequency; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female",,"When two coherent sounds with nearly similar frequencies are presented to each ear respectively with stereo headphones, the brain integrates the two signals and produces a sensation of a third sound called binaural beat (BB). Although earlier studies showed that BB could influence behavior and cognition, common agreement on the mechanism of BB has not been reached yet. In this work, we employed Relative Power (RP), Phase Locking Value (PLV) and Cross-Mutual Information (CMI) to track EEG changes during BB stimulations. EEG signals were acquired from 13 healthy subjects. Five-minute BBs with four different frequencies were tested: delta band (1 Hz), theta band (5Hz), alpha band (10 Hz) and beta band (20 Hz). We observed RP increase in theta and alpha bands and decrease in beta band during delta and alpha BB stimulations. RP decreased in beta band during theta BB, while RP decreased in theta band during beta BB. However, no clear brainwave entrainment effect was identified. Connectivity changes were detected following the variation of RP during BB stimulations. Our observation supports the hypothesis that BBs could affect functional brain connectivity, suggesting that the mechanism of BB–brain interaction is worth further study. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2014-55228-020&lang=es&site=ehost-live"
"Binaural beat technology in humans: A pilot study to assess neuropsychologic, physiologic, and electroencephalographic effects.","Wahbeh, Helané; Calabrese, Carlo; Zwickey, Heather; Zajdel, Dan","The Journal of Alternative and Complementary Medicine",="10755535",,="20070301","13","2","199","8","2007-05037-003","10.1089/acm.2006.6201","Mary Ann Liebert, Inc.","Journal Article","Auditory Perception; Electroencephalography; Neuropsychology; Physiology; Technology; Anxiety; Verbal Memory; Adulthood (18 yrs & older); Middle Age (40-64 yrs); Male; Female",,"Objectives: When two auditory stimuli of different frequency are presented to each ear, binaural beats are perceived by the listener. The binaural beat frequency is equal to the difference between the frequencies applied to each ear. Our primary objective was to assess whether steady-state entrainment of electroencephalographic activity to the binaural beat occurs when exposed to a specific binaural beat frequency as has been hypothesized. Our secondary objective was to gather preliminary data on neuropsychologic and physiologic effects of binaural beat technology. Design: A randomized, blinded, placebo-controlled crossover experiment in 4 healthy adult subjects. Intervention: Subjects were randomized to experimental auditory stimulus of 30 minutes of binaural beat at 7 Hz (carrier frequencies: 133 Hz L; 140Hz R) with an overlay of pink noise resembling the sound of rain on one session and control stimuli of the same overlay without the binaural beat carrier frequencies on the other session. Outcome measures: Data were collected during two separate sessions 1 week apart. Neuropsychologic and blood pressure data were collected before and after the intervention; electroencephalographic data were collected before, during, and after listening to either binaural beats or control. Neuropsychologic measures included State Trait Anxiety Inventory, Profile of Mood States, Rey Auditory Verbal List Test, Stroop Test, and Controlled Oral Word Association Test. Spectral and coherence analysis was performed on the electroencephalogram (EEG), and all measures were analyzed for changes between sessions with and without binaural beat stimuli. Results: There were no significant differences between the experimental and control conditions in any of the EEG measures. There was an increase of the Profile of Mood States depression subscale in the experimental condition relative to the control condition (p = 0.02). There was also a significant decrease in immediate verbal memory recall (p = 0.03) in the experimental condition compared to control condition. Conclusions: We did not find support for steady-state entrainment of the scalp-recorded EEG while listening to 7-Hz binaural beats. Although our data indicated increased depression and poorer immediate recall after listening to binaural beats, larger studies are needed to confirm these findings. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2007-05037-003&lang=es&site=ehost-live"
"Binaural beat: A failure to enhance EEG power and emotional arousal.","López-Caballero, Fran; Escera, Carles","Frontiers in Human Neuroscience",="16625161",,="20171115","11",,,,"2017-52825-001","10.3389/fnhum.2017.00557","Frontiers Media S.A.","Journal Article","Electrical Activity; Electroencephalography; Heart Rate; Failure; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male; Female",,"When two pure tones of slightly different frequencies are delivered simultaneously to the two ears, is generated a beat whose frequency corresponds to the frequency difference between them. That beat is known as acoustic beat. If these two tones are presented one to each ear, they still produce the sensation of the same beat, although no physical combination of the tones occurs outside the auditory system. This phenomenon is called binaural beat. In the present study, we explored the potential contribution of binaural beats to the enhancement of specific electroencephalographic (EEG) bands, as previous studies suggest the potential usefulness of binaural beats as a brainwave entrainment tool. Additionally, we analyzed the effects of binaural-beat stimulation on two psychophysiological measures related to emotional arousal: heart rate and skin conductance. Beats of five different frequencies (4.53 Hz -theta-, 8.97 Hz -alpha-, 17.93 Hz -beta-, 34.49 Hz -gamma- or 57.3 Hz -upper-gamma) were presented binaurally and acoustically for epochs of 3 min (Beat epochs), preceded and followed by pink noise epochs of 90 s (Baseline and Post epochs, respectively). In each of these epochs, we analyzed the EEG spectral power, as well as calculated the heart rate and skin conductance response (SCR). For all the beat frequencies used for stimulation, no significant changes between Baseline and Beat epochs were observed within the corresponding EEG bands, neither with binaural or with acoustic beats. Additional analysis of spectral EEG topographies yielded negative results for the effect of binaural beats in the scalp distribution of EEG spectral power. In the psychophysiological measures, no changes in heart rate and skin conductance were observed for any of the beat frequencies presented. Our results do not support binaural-beat stimulation as a potential tool for the enhancement of EEG oscillatory activity, nor to induce changes in emotional arousal. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2017-52825-001&lang=es&site=ehost-live"
"Binaural beats increase interhemispheric alpha-band coherence between auditory cortices.","Solcà, Marco; Mottaz, Anaïs; Guggisberg, Adrian G.","Hearing Research",="03785955",,="20160201","332",,"233","5","2016-10004-025","10.1016/j.heares.2015.09.011","Elsevier Science","Journal Article","Alpha Rhythm; Electroencephalography; Brain Connectivity; Synchrony; Lateral Dominance; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male; Female",,"Binaural beats (BBs) are an auditory illusion occurring when two tones of slightly different frequency are presented separately to each ear. BBs have been suggested to alter physiological and cognitive processes through synchronization of the brain hemispheres. To test this, we recorded electroencephalograms (EEG) at rest and while participants listened to BBs or a monaural control condition during which both tones were presented to both ears. We calculated for each condition the interhemispheric coherence, which expressed the synchrony between neural oscillations of both hemispheres. Compared to monaural beats and resting state, BBs enhanced interhemispheric coherence between the auditory cortices. Beat frequencies in the alpha (10 Hz) and theta (4 Hz) frequency range both increased interhemispheric coherence selectively at alpha frequencies. In a second experiment, we evaluated whether this coherence increase has a behavioral aftereffect on binaural listening. No effects were observed in a dichotic digit task performed immediately after BBs presentation. Our results suggest that BBs enhance alpha-band oscillation synchrony between the auditory cortices during auditory stimulation. This effect seems to reflect binaural integration rather than entrainment. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2016-10004-025&lang=es&site=ehost-live"
"Binaural beats to entrain the brain? A systematic review of the effects of binaural beat stimulation on brain oscillatory activity, and the implications for psychological research and intervention.","Ingendoh, Ruth Maria; Posny, Ella S.; Heine, Angela","PLoS ONE",="19326203",,="20230519","18","5",,,"2023-76389-001","10.1371/journal.pone.0286023","Public Library of Science","Journal Article","Brain Stimulation; Electroencephalography; Electrophysiology; Intervention; Stimulation; Oscillatory Network",,"Binaural beats are an auditory phenomenon that occurs when two tones of different frequencies, which are presented separately to each ear, elicit the sensation of a third tone oscillating at the difference frequency of the two tones. Binaural beats can be perceived in the frequency range of about 1–30 Hz, a range that coincides with the main human EEG frequency bands. The brainwave entrainment hypothesis, which assumes that external stimulation at a certain frequency leads to the brain’s electrocortical activity oscillating at the same frequency, provides the basis for research on the effects of binaural beat stimulation on cognitive and affective states. Studies, particularly in more applied fields, usually refer to neuroscientific research demonstrating that binaural beats elicit systematic changes in EEG parameters. At first glance, however, the available literature on brainwave entrainment effects due to binaural beat stimulation appears to be inconclusive at best. The aim of the present systematic review is, thus, to synthesize existing empirical research. A sample of fourteen published studies met our criteria for inclusion. The results corroborate the impression of an overall inconsistency of empirical outcomes, with five studies reporting results in line with the brainwave entrainment hypothesis, eight studies reporting contradictory, and one mixed results. What is to be noticed is that the fourteen studies included in this review were very heterogeneous regarding the implementation of the binaural beats, the experimental designs, and the EEG parameters and analyses. The methodological heterogeneity in this field of study ultimately limits the comparability of research outcomes. The results of the present systematic review emphasize the need for standardization in study approaches so as to allow for reliable insight into brainwave entrainment effects in the future. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2023-76389-001&lang=es&site=ehost-live"
"Effects of auditory binaural beats on consciousness and the human nervous system: A transdisciplinary review of the evidence.","Krasnoff, Elizabeth W.","Dissertation Abstracts International: Section B: The Sciences and Engineering",="04194217",="9798738649387",="20210101","82","12-B",,,"2021-65616-075",,"ProQuest Information & Learning","Dissertation","Auditory Stimulation; Autonomic Nervous System; Nervous System; Vibration; Neurosciences; Pitch (Frequency)",,"This dissertation aims to offer a transdisciplinary synthesis of peer-reviewed research on the effects of auditory binaural beats (BB) on patterns of the brain activity and the autonomic nervous system. BB create an auditory illusion when two different sound frequencies are heard simultaneously and separately in the left and right ears. The result is the illusion of a third 'difference' tone at a pitch that matches the difference between the two original frequencies. This difference tone affects brain activity, influencing a person's state of consciousness, which is measurable in EEG rhythms. The present transdisciplinary overview of BB research, especially for professionals working with sound for healing, summarizes the progress of BB investigations in the disciplines of health, neuroscience and psychology, providing a broad perspective of the state of BB research and applications. Reviewed here are investigations of brainwave states, methods of measurement, and experimental protocols for BB. Recommendations for future research on BB are suggested. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2021-65616-075&lang=es&site=ehost-live"
"Effects of binaural and monaural beat stimulation on attention and EEG.","Engelbregt, Hessel; Barmentlo, Marinda; Keeser, Daniel; Pogarell, Oliver; Deijen, Jan Berend","Experimental Brain Research",="00144819",,="20210901","239","9","2781","11","2021-63725-001","10.1007/s00221-021-06155-z","Springer","Journal Article","Auditory Stimulation; Ear (Anatomy); Electroencephalography; Responses; Stimulation; Cognitive Assessment; College Students; Psychology Education; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female",,"Nowadays a popular technique to improve mood and cognition is auditory beat stimulation (ABS), which is thought to induce a frequency-following response of brainwaves. The main types of ABS are monaural beats (MB) and binaural beats (BB). BB involves the presentation of a specific frequency to one ear and another frequency to the other ear which may induce neural entrainment. A difference between the frequencies of 40 Hz is assumed to improve cognition. The present study examined the effect of 40 Hz binaural beats (BB) and monaural beats (MB) on attention and electroencephalography (EEG). A total of 25 first-year psychology students (11 males, 14 females) performed a Flanker task while EEG was recorded during the 5 min-presentation of pink noise (PN), MB and BB. With respect to attention, as measured by the Flanker task, the number of false responses in the BB condition was smaller than that in the PN condition while the number of false responses in the MB condition was larger as compared to the PN condition. As there was no association of BB with a consistent increase in absolute 40 or 45 Hz power compared to PN or MB, EEG recordings could not confirm the hypothesized neural entrainment in the brain. Overall, the current findings show that listening to 40 Hz BB improves attention but do not show the occurrence of neural entrainment. Future research is recommended to include a larger sample, to use a broader cognitive test battery and to present auditory beats with a longer duration. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2021-63725-001&lang=es&site=ehost-live"
