Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"A high-density EEG investigation into steady state binaural beat stimulation.","Goodin, Peter; Ciorciari, Joseph; Baker, Kate; Carrey, Anne-Marie; Harper, Michelle; Kaufman, Jordy","PLoS ONE",="19326203",,="20120409","7","4",,,"2012-12593-001","10.1371/annotation/89b655ea-6877-411d-abee-e1f4806f5f78","Public Library of Science","Journal Article","Electroencephalography; Personality Traits; Theta Rhythm; Beta Rhythm; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Binaural beats are an auditory phenomenon that has been suggested to alter physiological and cognitive processes including vigilance and brainwave entrainment. Some personality traits measured by the NEO Five Factor Model have been found to alter entrainment using pulsing light stimuli, but as yet no studies have examined if this occurs using steady state presentation of binaural beats for a relatively short presentation of two minutes. This study aimed to examine if binaural beat stimulation altered vigilance or cortical frequencies and if personality traits were involved. Thirty-one participants were played binaural beat stimuli designed to elicit a response at either the Theta (7 Hz) or Beta (16 Hz) frequency bands while undertaking a zero-back vigilance task. EEG was recorded from a high-density electrode cap. No significant differences were found in vigilance or cortical frequency power during binaural beat stimulation compared to a white noise control period. Furthermore, no significant relationships were detected between the above and the Big Five personality traits. This suggests a short presentation of steady state binaural beats are not sufficient to alter vigilance or entrain cortical frequencies at the two bands examined and that certain personality traits were not more susceptible than others. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2012-12593-001&lang=es&site=ehost-live"
"A high-density EEG investigation into steady state binaural beat stimulation.","Goodin P; Ciorciari J; Baker K; Carey AM; Harper M; Kaufman J","PloS one",="1932-6203",,="2012","7","4","e34789",,"22496862","10.1371/journal.pone.0034789","Public Library of Science","Journal Article","Acoustic Stimulation methods; Auditory Perception physiology; Electroencephalography methods; Adult; Arousal physiology; Cerebral Cortex physiology; Electroencephalography instrumentation; Female; Humans; Male; Middle Aged; Personality; Young Adult",,"Binaural beats are an auditory phenomenon that has been suggested to alter physiological and cognitive processes including vigilance and brainwave entrainment. Some personality traits measured by the NEO Five Factor Model have been found to alter entrainment using pulsing light stimuli, but as yet no studies have examined if this occurs using steady state presentation of binaural beats for a relatively short presentation of two minutes. This study aimed to examine if binaural beat stimulation altered vigilance or cortical frequencies and if personality traits were involved. Thirty-one participants were played binaural beat stimuli designed to elicit a response at either the Theta (7 Hz) or Beta (16 Hz) frequency bands while undertaking a zero-back vigilance task. EEG was recorded from a high-density electrode cap. No significant differences were found in vigilance or cortical frequency power during binaural beat stimulation compared to a white noise control period. Furthermore, no significant relationships were detected between the above and the Big Five personality traits. This suggests a short presentation of steady state binaural beats are not sufficient to alter vigilance or entrain cortical frequencies at the two bands examined and that certain personality traits were not more susceptible than others.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=cmedm&AN=22496862&lang=es&site=ehost-live"
"A new perspective on binaural beats: Investigating the effects of spatially moving sounds on human mental states.","Sudre, Salomé; Kronland-Martinet, Richard; Petit, Laetitia; Rozé, Jocelyn; Ystad, Sølvi; Aramaki, Mitsuko","PLoS ONE",="19326203",,="20240731","19","7",,,"2025-10934-001","10.1371/journal.pone.0306427","Public Library of Science","Journal Article","Auditory Stimulation; Cognition; Pitch (Frequency); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"When individuals are exposed to two pure tones with close frequencies presented separately in each ear, they perceive a third sound known as binaural beats (BB), characterized by a frequency equal to the difference between the two tones. Previous research has suggested that BB may influence brain activity, potentially benefiting attention and relaxation. In this study, we hypothesized that the impact of BB on cognition and EEG is linked to the spatial characteristics of the sound. Participants listened to various types of spatially moving sounds (BB, panning and alternate beeps) at 6Hz and 40Hz frequencies. EEG measurements were conducted throughout the auditory stimulation, and participants completed questionnaires on relaxation, affect, and a sustained attention task. The results indicated that binaural, panning sounds and alternate beeps had a more pronounced effect on electrical brain activity than the control condition. Additionally, an improvement in relaxation was observed with these sounds at both 6Hz and 40Hz. Overall, these findings support our hypothesis that the impact of auditory stimulation lies in the spatial attributes rather than the sensation of beating itself. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2025-10934-001&lang=es&site=ehost-live"
"A new perspective on binaural beats: Investigating the effects of spatially moving sounds on human mental states.","Sudre S; Kronland-Martinet R; Petit L; Rozé J; Ystad S; Aramaki M","PloS one",="1932-6203",,="2024 Jul 31","19","7","e0306427",,"39083499","10.1371/journal.pone.0306427","Public Library of Science","Journal Article","Acoustic Stimulation; Electroencephalography; Attention physiology; Humans; Male; Female; Adult; Young Adult; Auditory Perception physiology; Sound; Sound Localization physiology; Brain physiology; Cognition physiology; Relaxation physiology",,"When individuals are exposed to two pure tones with close frequencies presented separately in each ear, they perceive a third sound known as binaural beats (BB), characterized by a frequency equal to the difference between the two tones. Previous research has suggested that BB may influence brain activity, potentially benefiting attention and relaxation. In this study, we hypothesized that the impact of BB on cognition and EEG is linked to the spatial characteristics of the sound. Participants listened to various types of spatially moving sounds (BB, panning and alternate beeps) at 6Hz and 40Hz frequencies. EEG measurements were conducted throughout the auditory stimulation, and participants completed questionnaires on relaxation, affect, and a sustained attention task. The results indicated that binaural, panning sounds and alternate beeps had a more pronounced effect on electrical brain activity than the control condition. Additionally, an improvement in relaxation was observed with these sounds at both 6Hz and 40Hz. Overall, these findings support our hypothesis that the impact of auditory stimulation lies in the spatial attributes rather than the sensation of beating itself. Competing Interests: The authors have declared that no competing interests exist. Copyright: © 2024 Sudre et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=cmedm&AN=39083499&lang=es&site=ehost-live"
"A Review of Binaural Bates and the Brain.","Mirmohamadi S; Norozpour Y; Zarrabian S","Basic and clinical neuroscience",="2008-126X",,="2024 Mar-Apr","15","2","133",,"39228447","10.32598/bcn.2022.1406.2","Iran University of Medical Sciences","Journal Article",,,"Binaural beat (BB), as a non-invasive auditory beat stimulation type, has found its potential applications in cognitive domains. This review presents a proper summary to deepen our understanding of the soundness of the BB technique by looking into its applications, possible mechanisms of action, effectiveness, limitations, and potential side effects. BB has been claimed to improve cognitive and psychological functions such as memory, attention, stress, anxiety, motivation, and confidence. We have also looked into preclinical and clinical research studies that have been performed using BB and proposed changes in the brain following the application of BB stimulations, including EEG changes. This review also presents applications outside the cognitive domain and evaluates BB as a possible treatment method. Copyright© 2024 Iranian Neuroscience Society.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=cmedm&AN=39228447&lang=es&site=ehost-live"
"Alpha-range visual and auditory stimulation reduces the perception of pain.","Ecsy K; Jones AK; Brown CA","European journal of pain (London, England)",="1532-2149",,="2017 Mar","21","3","562",,"27807916","10.1002/ejp.960","Wiley","Journal Article","Acoustic Stimulation methods; Alpha Rhythm; Pain Perception; Photic Stimulation methods; Acoustic Stimulation adverse effects; Acoustic Stimulation instrumentation; Adult; Affect; Anxiety psychology; Female; Healthy Volunteers; Humans; Lasers; Male; Pain Measurement; Photic Stimulation adverse effects; Photic Stimulation instrumentation; Psychophysics; Sleep Stages; Young Adult",,"Background: Alpha power is believed to have an inverse relationship with the perception of pain. Increasing alpha power through an external stimulus may, therefore, induce an analgesic effect. Here, we attempt to modulate the perception of a moderately painful acute laser stimulus by separately entraining three frequencies across the alpha band: 8, 10 and 12 Hz. Methods: Participants were exposed to either visual or auditory stimulation at three frequencies in the alpha-band range and a control frequency. We collected verbal pain ratings of laser stimuli from participants following 10 minutes of flashing LED goggle stimulation and 10 minutes of binaural beat stimulation across the alpha range. Alterations in sleepiness, anxiety and negative mood were recorded following each auditory or visual alpha-rhythm stimulation session. Results: A significant reduction in pain ratings was found after both the visual and the auditory stimulation across all three frequencies compared with the control condition. In the visual group, a significantly larger reduction was recorded following the 10-Hz stimulation than succeeding the 8- and 12-Hz conditions. Conclusions: This study suggests that a short presentation of auditory and visual stimuli, oscillating in the alpha range, have an analgesic effect on acute laser pain, with the largest effect following the 10-Hz visual stimulation. Pain reductions following stimulation in the alpha range are independent of sleepiness, anxiety, and negative moods. Significance: This study provides new behavioural evidence showing that visual and auditory entrainment of frequencies in the alpha-wave range can influence the perception of acute pain in humans. © 2016 European Pain Federation - EFIC®.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=cmedm&AN=27807916&lang=es&site=ehost-live"
"An investigation of the effects of binaural beat frequencies on human brain waves.","Ulam, Frederick Anthony","Dissertation Abstracts International: Section B: The Sciences and Engineering",="04194217",,="20060101","67","2-B","1198","1","2006-99016-128",,"ProQuest Information & Learning","Dissertation","Brain; Electroencephalography; Auditory Evoked Potentials; Adulthood (18 yrs & older)",,"The study investigated the use of binaural beat frequencies in inducing entrainment of synchronous brain wave activity within the theta frequency band. Subjects consisted of 43 volunteers recruited from psychophysiology courses offered at the California State University at Fresno. Each subject served as his own control, receiving binaural beat stimulation, monaural beat stimulation, and monaural tone stimulation. Subjects were randomly assigned to three groups in which the order of treatments was counterbalanced. Subjects were naive as to the hypotheses, and treatments were delivered under double-blind conditions. Binaural beat stimulation was produced by the Hemi-Sync Synthesizer, Model 201B. Both 440 Hz and 436 Hz tones were used for stimulation conditions containing beat frequencies, while a 440 Hz tone alone was used for the monaural tone condition. EEG activity was recorded from Fp2, C2, O2 and T5 and T6 scalp locations, using an extension of the 10-20 International System. EEG activity was acquired with BFC5000-4 with on-line Spectral Analysis unit. An integrated, coherent averaging circuit was used to measure phase synchrony across the five electrode locations. Spectral data were quantified into absolute and relative power of theta at each electrode site, including the coherent averaging circuit channel. A three-factor, mixed ANOVA revealed no significant differences between groups on treatments, indicating that binaural beat stimulation produced no greater inducement of theta than the control conditions and that theta was no more synchronous during binaural beat stimulation than during control conditions. Suggestions for future research emphasized the inclusion of controls for the attentional focus of subjects and use of coherent averaging for each channel of the EEG in a more traditionally evoked potential paradigm. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2006-99016-128&lang=es&site=ehost-live"
"Analysis of eeg activity in response to binaural beats with different frequencies.","Gao, Xiang; Cao, Hongbao; Ming, Dong; Qi, Hongzhi; Wang, Xuemin; Wang, Xiaolu; Chen, Runge; Zhou, Peng","International Journal of Psychophysiology",="01678760",,="20141201","94","3","399","8","2014-55228-020","10.1016/j.ijpsycho.2014.10.010","Elsevier Science","Journal Article","Auditory Stimulation; Connectionism; Electroencephalography; Cognition; Stimulus Frequency; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female",,"When two coherent sounds with nearly similar frequencies are presented to each ear respectively with stereo headphones, the brain integrates the two signals and produces a sensation of a third sound called binaural beat (BB). Although earlier studies showed that BB could influence behavior and cognition, common agreement on the mechanism of BB has not been reached yet. In this work, we employed Relative Power (RP), Phase Locking Value (PLV) and Cross-Mutual Information (CMI) to track EEG changes during BB stimulations. EEG signals were acquired from 13 healthy subjects. Five-minute BBs with four different frequencies were tested: delta band (1 Hz), theta band (5Hz), alpha band (10 Hz) and beta band (20 Hz). We observed RP increase in theta and alpha bands and decrease in beta band during delta and alpha BB stimulations. RP decreased in beta band during theta BB, while RP decreased in theta band during beta BB. However, no clear brainwave entrainment effect was identified. Connectivity changes were detected following the variation of RP during BB stimulations. Our observation supports the hypothesis that BBs could affect functional brain connectivity, suggesting that the mechanism of BB–brain interaction is worth further study. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2014-55228-020&lang=es&site=ehost-live"
"Auditory evoked responses to binaural beat illusion: stimulus generation and the derivation of the Binaural Interaction Component (BIC).","Ozdamar O; Bohorquez J; Mihajloski T; Yavuz E; Lachowska M","Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference",="2694-0604",,="2011","2011",,"830",,"22254439","10.1109/IEMBS.2011.6090190","[IEEE]","Journal Article","Acoustic Stimulation methods; Cues; Electroencephalography methods; Evoked Potentials, Auditory physiology; Illusions physiology; Reaction Time physiology; Humans",,"Electrophysiological indices of auditory binaural beats illusions are studied using late latency evoked responses. Binaural beats are generated by continuous monaural FM tones with slightly different ascending and descending frequencies lasting about 25 ms presented at 1 sec intervals. Frequency changes are carefully adjusted to avoid any creation of abrupt waveform changes. Binaural Interaction Component (BIC) analysis is used to separate the neural responses due to binaural involvement. The results show that the transient auditory evoked responses can be obtained from the auditory illusion of binaural beats.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=cmedm&AN=22254439&lang=es&site=ehost-live"
"Binaural Beat Effects on Attention: A Study Based on the Oddball Paradigm.","Cepeda-Zapata LK; Corona-González CE; Alonso-Valerdi LM; Ibarra-Zarate DI","Brain topography",="1573-6792",,="2023 Sep","36","5","671",,"37490130","10.1007/s10548-023-00990-9","Kluwer Academic/Plenum Publishers","Journal Article","Evoked Potentials, Auditory physiology; Electroencephalography methods; Young Adult; Humans; Adult; Acoustic Stimulation methods; Evoked Potentials physiology; Attention",,"The impact of binaural beats (BBs) on human cognition and behavior remains and various methods have been used to measure their effect, including neurophysiological, psychometric, and human performance evaluations. The few approaches where the level of neural synchronicity and connectivity were measured by neuroimaging techniques have only been undertaken in spontaneous mode. The present research proposes an approach based on the oddball paradigm to study BB effect by estimating the level of attention induced by BBs. Evoked activity of 25 young adults between 19 and 24 years old with no hearing impairments nor clinical neurological history were analyzed. The experiment was conducted in two different sessions of 24.5 min. The first part consisted of 20-min BB stimulation in either theta (BB θ ) or beta (BB β ). After the BB stimulation, an oddball paradigm was applied in each BB condition to assess the attentional effect induced by BBs. Attention enhancement is expected for BB β with respect to BB θ . Target event related potentials (ERPs) were mainly analyzed in the time and time-frequency domains. The frequency analysis was based on continuous wavelet transform (CWT), event-related spectral perturbation (ERSP), and inter-trial phase coherence (ITPC). The study revealed that the P300 component was not significantly different between conditions (BB θ vs. BB β ). However, the target grand average ERP in BB θ condition was mainly composed of 8 Hz-frequency components, appearing before 400 ms post-stimulus, and mainly on the centro-parietal regions. In contrast, the target grand average ERP in BB β condition was mainly composed of frequency components below 6 Hz, mainly appearing at 400 ms post-stimulus on the parieto-occipital regions. Furthermore, ERPs in the BB θ condition were more phase locked than the BB β condition. © 2023. The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=cmedm&AN=37490130&lang=es&site=ehost-live"
