"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Joris P.X.; Verschooten E.","Joris, Philip X (6603871964); Verschooten, Eric (36545493100)","6603871964; 36545493100","Midbrain sensitivity to auditory motion studied with dichotic sweeps of broadband noise","2024","Hearing Research","450","","109066","","","","0","10.1016/j.heares.2024.109066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196044887&doi=10.1016%2fj.heares.2024.109066&partnerID=40&md5=15b3e2490c0e1b9560e18f9b76cb911f","Article","Final","","Scopus","2-s2.0-85196044887"
"Basu S.; Banerjee B.","Basu, Sandhya (57218375415); Banerjee, Bidisha (57195948744)","57218375415; 57195948744","Potential of binaural beats intervention for improving memory and attention: insights from meta-analysis and systematic review","2023","Psychological Research","87","4","","951","963","12","10","10.1007/s00426-022-01706-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134487773&doi=10.1007%2fs00426-022-01706-7&partnerID=40&md5=6e84a879d507fa265a2028e7d1112bc8","Review","Final","","Scopus","2-s2.0-85134487773"
"Almohammadi A.; Wang Y.-K.","Almohammadi, Abdullah (58821165300); Wang, Yu-Kai (41262423500)","58821165300; 41262423500","Revealing brain connectivity: graph embeddings for EEG representation learning and comparative analysis of structural and functional connectivity","2023","Frontiers in Neuroscience","17","","1288433","","","","1","10.3389/fnins.2023.1288433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182652785&doi=10.3389%2ffnins.2023.1288433&partnerID=40&md5=fd6d7e81431a07680c97e1a60a57eeba","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85182652785"
"Taleei T.; Nazem-Zadeh M.-R.; Amiri M.; Keliris G.A.","Taleei, Tahereh (57907827700); Nazem-Zadeh, Mohammad-Reza (35094377800); Amiri, Mahmood (23479492600); Keliris, Georgios A. (8516188600)","57907827700; 35094377800; 23479492600; 8516188600","EEG-based functional connectivity for tactile roughness discrimination","2023","Cognitive Neurodynamics","17","4","","921","940","19","1","10.1007/s11571-022-09876-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138779057&doi=10.1007%2fs11571-022-09876-1&partnerID=40&md5=546b2df882c9c0b550a1fae6b1c10855","Article","Final","","Scopus","2-s2.0-85138779057"
"Duquette-Laplante F.; Jutras B.; Néron N.; Fortin S.; Koravand A.","Duquette-Laplante, Fauve (57210319761); Jutras, Benoît (6507181286); Néron, Noémie (58963657500); Fortin, Sandra (58964086800); Koravand, Amineh (35111380800)","57210319761; 6507181286; 58963657500; 58964086800; 35111380800","Exploring the Differences Between an Immature and a Mature Human Auditory System Through Auditory Late Responses in Quiet and in Noise","2024","Neuroscience","545","","","171","184","13","0","10.1016/j.neuroscience.2024.03.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189099756&doi=10.1016%2fj.neuroscience.2024.03.018&partnerID=40&md5=485a6e9c3e79dd8e52ecf928192e2d34","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85189099756"
"Kim J.; Kim H.-W.; Kovar J.; Lee Y.S.","Kim, Jeahong (57200410601); Kim, Hyun-Woong (57220077196); Kovar, Jessica (58821382800); Lee, Yune Sang (16506509100)","57200410601; 57220077196; 58821382800; 16506509100","Neural consequences of binaural beat stimulation on auditory sentence comprehension: an EEG study","2024","Cerebral Cortex","34","1","bhad459","","","","1","10.1093/cercor/bhad459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182730764&doi=10.1093%2fcercor%2fbhad459&partnerID=40&md5=c26091eb467139a901ed99a3e21fc531","Article","Final","","Scopus","2-s2.0-85182730764"
"Wang Y.; Wu D.; Sun K.; Zhu Y.; Chen X.; Xiao W.","Wang, Yifan (57894624500); Wu, Di (57203155809); Sun, Kewei (57219709828); Zhu, Yan (58515438600); Chen, Xianglong (58514086100); Xiao, Wei (7202456444)","57894624500; 57203155809; 57219709828; 58515438600; 58514086100; 7202456444","The Effect of Rhythmic Audio-Visual Stimulation on Inhibitory Control: An ERP Study","2024","Brain Sciences","14","5","506","","","","1","10.3390/brainsci14050506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194392678&doi=10.3390%2fbrainsci14050506&partnerID=40&md5=dd4ccba3dca875a25884fd448aafe7ab","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85194392678"
"Wang Y.; Zhang J.; Li Y.; Qi S.; Zhang F.; Ball L.J.; Duan H.","Wang, Yifan (57224594297); Zhang, Jiaqi (58636579500); Li, Yadan (55877259600); Qi, Senqing (37078085300); Zhang, Fengqing (57995528300); Ball, Linden J. (7102282029); Duan, Haijun (56693721000)","57224594297; 58636579500; 55877259600; 37078085300; 57995528300; 7102282029; 56693721000","Preventing prefrontal dysfunction by tdcs modulates stress-induced creativity impairment in women: An fnirs study","2023","Cerebral Cortex","33","20","","10528","10545","17","4","10.1093/cercor/bhad301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173586635&doi=10.1093%2fcercor%2fbhad301&partnerID=40&md5=b7f1e28f3271f3d81bed2f5c816e7ebf","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85173586635"
"Watanabe H.; Terada T.","Watanabe, Hiroki (55877159700); Terada, Tsutomu (7202850889)","55877159700; 7202850889","Transparency Mode of Hearable Reduces Your Spatial Hearing: Evaluation and Cancelling Method to Restore Spatial Hearing","2023","IEEE Access","11","","","97952","97960","8","0","10.1109/ACCESS.2023.3312713","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171586861&doi=10.1109%2fACCESS.2023.3312713&partnerID=40&md5=e7d1914f61fd4b057a9a37630da897d9","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85171586861"
"Hake R.; Bürgel M.; Nguyen N.K.; Greasley A.; Müllensiefen D.; Siedenburg K.","Hake, Robin (58475932500); Bürgel, Michel (57409512200); Nguyen, Ninh K. (59052610000); Greasley, Alinka (51161347400); Müllensiefen, Daniel (23019169400); Siedenburg, Kai (55566606400)","58475932500; 57409512200; 59052610000; 51161347400; 23019169400; 55566606400","Development of an adaptive test of musical scene analysis abilities for normal-hearing and hearing-impaired listeners","2024","Behavior Research Methods","56","6","","5456","5481","25","0","10.3758/s13428-023-02279-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176354109&doi=10.3758%2fs13428-023-02279-y&partnerID=40&md5=77cbc3e5f21422ce76793a0e7db5c18e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85176354109"
